gene_id,CD4_positive_naive_resting_alpha_beta_T_cell,CD8_positive_naive_resting_alpha_beta_T_cell,hippocampus,heart,gastrocnemius,monocyte,neutrophil,T_cell,left_cerebral_cortex,adrenal_gland,B_cell
ENSMUSG00000103903.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025909.16,0.0,0.0,10.81,0.01,0.0,0.0,0.0,0.02,12.46,0.14,0.0
ENSMUSG00000102647.1,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ENSMUSG00000086235.1,0.0,0.0,0.0,0.0,0.0,0.84,0.42,0.0,0.78,0.0,0.0
ENSMUSG00000102253.1,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
ENSMUSG00000093970.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103884.1,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ENSMUSG00000084353.1,1.19,3.01,0.28,0.0,0.04,7.24,31.64,0.0,0.12,0.0,8.22
ENSMUSG00000103933.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000076135.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000086195.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104504.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000066693.2,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.29,0.0,0.0
ENSMUSG00000102316.1,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0
ENSMUSG00000103819.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.0
ENSMUSG00000102871.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000101571.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0
ENSMUSG00000104428.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102272.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000065625.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103411.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0
ENSMUSG00000061024.8,10.54,10.67,6.67,6.57,7.27,4.94,3.55,11.87,6.93,10.49,11.05
ENSMUSG00000025911.14,0.67,0.47,4.82,30.28,16.44,0.92,0.17,0.04,4.2,24.14,0.09
ENSMUSG00000079671.8,0.0,0.0,0.11,0.61,0.26,0.6,0.02,0.0,0.1,0.51,0.12
